weather_condition,temperature,distance,traffic_condition,time_of_day,chosen_mode,reasoning,serialized_query,serialized_with_label
light drizzle,35°C very hot,15 km,gridlock,15:00 afternoon,motorbike,"Motorbike is the most practical mode to navigate gridlock traffic, and light drizzle is manageable.",Weather is light drizzle with a temperature of 35°C very hot. Route distance is 15 km and traffic is gridlock. Trip starts at 15:00 afternoon.,Weather is light drizzle with a temperature of 35°C very hot. Route distance is 15 km and traffic is gridlock. Trip starts at 15:00 afternoon. Transport mode is motorbike.
strong wind,12°C cold,8 km,gridlock,09:00 morning,motorbike,"Motorbike is the most practical mode to navigate gridlock traffic, and cold wind is manageable with proper attire.",Weather is strong wind with a temperature of 12°C cold. Route distance is 8 km and traffic is gridlock. Trip starts at 09:00 morning.,Weather is strong wind with a temperature of 12°C cold. Route distance is 8 km and traffic is gridlock. Trip starts at 09:00 morning. Transport mode is motorbike.
clear sky,18°C mild,8 km,heavy traffic,18:00 evening rush,motorbike,"Motorbike is the most efficient way to navigate heavy rush hour traffic in clear, mild weather.",Weather is clear sky with a temperature of 18°C mild. Route distance is 8 km and traffic is heavy traffic. Trip starts at 18:00 evening rush.,Weather is clear sky with a temperature of 18°C mild. Route distance is 8 km and traffic is heavy traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
heavy rain,35°C very hot,5 km,no traffic,12:00 midday,car,Car is the best option for comfort and safety during heavy rain.,Weather is heavy rain with a temperature of 35°C very hot. Route distance is 5 km and traffic is no traffic. Trip starts at 12:00 midday.,Weather is heavy rain with a temperature of 35°C very hot. Route distance is 5 km and traffic is no traffic. Trip starts at 12:00 midday. Transport mode is car.
heavy rain,24°C warm,8 km,light traffic,09:00 morning,car,Car is the best option for comfort and safety during heavy rain.,Weather is heavy rain with a temperature of 24°C warm. Route distance is 8 km and traffic is light traffic. Trip starts at 09:00 morning.,Weather is heavy rain with a temperature of 24°C warm. Route distance is 8 km and traffic is light traffic. Trip starts at 09:00 morning. Transport mode is car.
overcast,12°C cold,10 km,moderate traffic,15:00 afternoon,motorbike,"Motorbike is efficient for 10km in moderate traffic, and cold overcast weather is manageable.",Weather is overcast with a temperature of 12°C cold. Route distance is 10 km and traffic is moderate traffic. Trip starts at 15:00 afternoon.,Weather is overcast with a temperature of 12°C cold. Route distance is 10 km and traffic is moderate traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
light rain,18°C mild,0.5 km,light traffic,09:00 morning,motorbike,"Motorbike is practical for a very short 0.5km distance in light rain, avoiding walking in the wet.",Weather is light rain with a temperature of 18°C mild. Route distance is 0.5 km and traffic is light traffic. Trip starts at 09:00 morning.,Weather is light rain with a temperature of 18°C mild. Route distance is 0.5 km and traffic is light traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
light drizzle,30°C hot,20 km,no traffic,21:00 night,motorbike,"Motorbike is efficient for 20km with no traffic at night, and light drizzle is manageable.",Weather is light drizzle with a temperature of 30°C hot. Route distance is 20 km and traffic is no traffic. Trip starts at 21:00 night.,Weather is light drizzle with a temperature of 30°C hot. Route distance is 20 km and traffic is no traffic. Trip starts at 21:00 night. Transport mode is motorbike.
storm,24°C warm,30 km,light traffic,12:00 midday,car,"Car is the best option for safety and comfort during a storm, especially for a 30km trip.",Weather is storm with a temperature of 24°C warm. Route distance is 30 km and traffic is light traffic. Trip starts at 12:00 midday.,Weather is storm with a temperature of 24°C warm. Route distance is 30 km and traffic is light traffic. Trip starts at 12:00 midday. Transport mode is car.
heavy rain,35°C very hot,5 km,heavy traffic,21:00 night,car,"Car is the best option for comfort and safety during heavy rain, especially in heavy traffic.",Weather is heavy rain with a temperature of 35°C very hot. Route distance is 5 km and traffic is heavy traffic. Trip starts at 21:00 night.,Weather is heavy rain with a temperature of 35°C very hot. Route distance is 5 km and traffic is heavy traffic. Trip starts at 21:00 night. Transport mode is car.
overcast,24°C warm,10 km,light traffic,09:00 morning,motorbike,"Motorbike is efficient for 10km in light traffic, and overcast warm weather is suitable.",Weather is overcast with a temperature of 24°C warm. Route distance is 10 km and traffic is light traffic. Trip starts at 09:00 morning.,Weather is overcast with a temperature of 24°C warm. Route distance is 10 km and traffic is light traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
storm,30°C hot,30 km,heavy traffic,21:00 night,car,"Car is the best option for safety and comfort during a storm, especially for a 30km trip in heavy traffic at night.",Weather is storm with a temperature of 30°C hot. Route distance is 30 km and traffic is heavy traffic. Trip starts at 21:00 night.,Weather is storm with a temperature of 30°C hot. Route distance is 30 km and traffic is heavy traffic. Trip starts at 21:00 night. Transport mode is car.
clear sky,38°C extreme heat,2 km,moderate traffic,12:00 midday,motorbike,"Motorbike is practical for a short 2km trip, avoiding extreme heat exposure.",Weather is clear sky with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is moderate traffic. Trip starts at 12:00 midday.,Weather is clear sky with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is moderate traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
light rain,35°C very hot,10 km,light traffic,09:00 morning,motorbike,"Motorbike is efficient for 10km in light traffic, and light rain with very hot weather is manageable.",Weather is light rain with a temperature of 35°C very hot. Route distance is 10 km and traffic is light traffic. Trip starts at 09:00 morning.,Weather is light rain with a temperature of 35°C very hot. Route distance is 10 km and traffic is light traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
overcast,38°C extreme heat,15 km,moderate traffic,21:00 night,motorbike,"Motorbike is suitable for 15km, and extreme heat excludes bike and transit.",Weather is overcast with a temperature of 38°C extreme heat. Route distance is 15 km and traffic is moderate traffic. Trip starts at 21:00 night.,Weather is overcast with a temperature of 38°C extreme heat. Route distance is 15 km and traffic is moderate traffic. Trip starts at 21:00 night. Transport mode is motorbike.
storm,12°C cold,10 km,no traffic,18:00 evening rush,car,"Car is best for storms, overriding the deprioritization during evening rush hour.",Weather is storm with a temperature of 12°C cold. Route distance is 10 km and traffic is no traffic. Trip starts at 18:00 evening rush.,Weather is storm with a temperature of 12°C cold. Route distance is 10 km and traffic is no traffic. Trip starts at 18:00 evening rush. Transport mode is car.
overcast,30°C hot,15 km,no traffic,07:00 rush hour,motorbike,"Motorbike is practical for 15km and not excluded by weather, while car is deprioritized during rush hour.",Weather is overcast with a temperature of 30°C hot. Route distance is 15 km and traffic is no traffic. Trip starts at 07:00 rush hour.,Weather is overcast with a temperature of 30°C hot. Route distance is 15 km and traffic is no traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
storm,38°C extreme heat,20 km,gridlock,07:00 rush hour,car,"Car is best for storms, overriding the deprioritization during rush hour and gridlock, and extreme heat excludes transit.",Weather is storm with a temperature of 38°C extreme heat. Route distance is 20 km and traffic is gridlock. Trip starts at 07:00 rush hour.,Weather is storm with a temperature of 38°C extreme heat. Route distance is 20 km and traffic is gridlock. Trip starts at 07:00 rush hour. Transport mode is car.
light drizzle,12°C cold,15 km,no traffic,21:00 night,motorbike,"Motorbike is suitable for 15km and not excluded by light drizzle, while bike is excluded by rain.",Weather is light drizzle with a temperature of 12°C cold. Route distance is 15 km and traffic is no traffic. Trip starts at 21:00 night.,Weather is light drizzle with a temperature of 12°C cold. Route distance is 15 km and traffic is no traffic. Trip starts at 21:00 night. Transport mode is motorbike.
light drizzle,35°C very hot,5 km,no traffic,21:00 night,motorbike,"Motorbike is suitable for 5km and not excluded by light drizzle, while bike is excluded by rain.",Weather is light drizzle with a temperature of 35°C very hot. Route distance is 5 km and traffic is no traffic. Trip starts at 21:00 night.,Weather is light drizzle with a temperature of 35°C very hot. Route distance is 5 km and traffic is no traffic. Trip starts at 21:00 night. Transport mode is motorbike.
fog,35°C very hot,5 km,heavy traffic,15:00 afternoon,bike,"Bike is suitable for 5km and not excluded by fog or 35°C heat, offering efficiency in heavy traffic.",Weather is fog with a temperature of 35°C very hot. Route distance is 5 km and traffic is heavy traffic. Trip starts at 15:00 afternoon.,Weather is fog with a temperature of 35°C very hot. Route distance is 5 km and traffic is heavy traffic. Trip starts at 15:00 afternoon. Transport mode is bike.
light rain,38°C extreme heat,3 km,gridlock,18:00 evening rush,motorbike,"Motorbike is suitable for 3km and can navigate gridlock, while bike and transit are excluded by weather and car is deprioritized.",Weather is light rain with a temperature of 38°C extreme heat. Route distance is 3 km and traffic is gridlock. Trip starts at 18:00 evening rush.,Weather is light rain with a temperature of 38°C extreme heat. Route distance is 3 km and traffic is gridlock. Trip starts at 18:00 evening rush. Transport mode is motorbike.
storm,12°C cold,15 km,light traffic,07:00 rush hour,car,"Car is best for storms, overriding the deprioritization during rush hour.",Weather is storm with a temperature of 12°C cold. Route distance is 15 km and traffic is light traffic. Trip starts at 07:00 rush hour.,Weather is storm with a temperature of 12°C cold. Route distance is 15 km and traffic is light traffic. Trip starts at 07:00 rush hour. Transport mode is car.
overcast,38°C extreme heat,2 km,heavy traffic,00:00 late night,motorbike,"Motorbike is suitable for 2km, and extreme heat excludes bike and transit.",Weather is overcast with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is heavy traffic. Trip starts at 00:00 late night.,Weather is overcast with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is heavy traffic. Trip starts at 00:00 late night. Transport mode is motorbike.
heavy rain,35°C very hot,10 km,heavy traffic,15:00 afternoon,car,"Car is best for heavy rain, and motorbike is excluded by heavy rain.",Weather is heavy rain with a temperature of 35°C very hot. Route distance is 10 km and traffic is heavy traffic. Trip starts at 15:00 afternoon.,Weather is heavy rain with a temperature of 35°C very hot. Route distance is 10 km and traffic is heavy traffic. Trip starts at 15:00 afternoon. Transport mode is car.
strong wind,38°C extreme heat,8 km,light traffic,15:00 afternoon,motorbike,"Motorbike is suitable for 8km, and extreme heat excludes bike and transit.",Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 8 km and traffic is light traffic. Trip starts at 15:00 afternoon.,Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 8 km and traffic is light traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
light rain,30°C hot,2 km,no traffic,12:00 midday,motorbike,"Motorbike is suitable for 2km and not excluded by light rain, while bike is excluded by rain.",Weather is light rain with a temperature of 30°C hot. Route distance is 2 km and traffic is no traffic. Trip starts at 12:00 midday.,Weather is light rain with a temperature of 30°C hot. Route distance is 2 km and traffic is no traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
light rain,24°C warm,2 km,gridlock,12:00 midday,motorbike,"Motorbike is suitable for 2km and can navigate gridlock, while bike is excluded by rain.",Weather is light rain with a temperature of 24°C warm. Route distance is 2 km and traffic is gridlock. Trip starts at 12:00 midday.,Weather is light rain with a temperature of 24°C warm. Route distance is 2 km and traffic is gridlock. Trip starts at 12:00 midday. Transport mode is motorbike.
light rain,38°C extreme heat,1 km,no traffic,12:00 midday,motorbike,"Motorbike is suitable for 1km, and light rain and extreme heat exclude bike and transit.",Weather is light rain with a temperature of 38°C extreme heat. Route distance is 1 km and traffic is no traffic. Trip starts at 12:00 midday.,Weather is light rain with a temperature of 38°C extreme heat. Route distance is 1 km and traffic is no traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
storm,24°C warm,20 km,moderate traffic,12:00 midday,car,"Car is best for storms, and motorbike is excluded by storms.",Weather is storm with a temperature of 24°C warm. Route distance is 20 km and traffic is moderate traffic. Trip starts at 12:00 midday.,Weather is storm with a temperature of 24°C warm. Route distance is 20 km and traffic is moderate traffic. Trip starts at 12:00 midday. Transport mode is car.
light rain,24°C warm,1 km,heavy traffic,07:00 rush hour,motorbike,"Motorbike is practical for 1km in heavy traffic during rush hour, while bike is excluded by rain and car is deprioritized.",Weather is light rain with a temperature of 24°C warm. Route distance is 1 km and traffic is heavy traffic. Trip starts at 07:00 rush hour.,Weather is light rain with a temperature of 24°C warm. Route distance is 1 km and traffic is heavy traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
light drizzle,12°C cold,20 km,moderate traffic,18:00 evening rush,motorbike,"Motorbike is suitable for 20km and not excluded by light drizzle, while bike is excluded by rain and car is deprioritized during rush hour.",Weather is light drizzle with a temperature of 12°C cold. Route distance is 20 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is light drizzle with a temperature of 12°C cold. Route distance is 20 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
storm,35°C very hot,10 km,heavy traffic,15:00 afternoon,car,"Car is best for storms, and motorbike is excluded by storms.",Weather is storm with a temperature of 35°C very hot. Route distance is 10 km and traffic is heavy traffic. Trip starts at 15:00 afternoon.,Weather is storm with a temperature of 35°C very hot. Route distance is 10 km and traffic is heavy traffic. Trip starts at 15:00 afternoon. Transport mode is car.
storm,12°C cold,30 km,moderate traffic,21:00 night,car,"Car is best for storms, especially for a 30km distance, and motorbike is excluded by storms.",Weather is storm with a temperature of 12°C cold. Route distance is 30 km and traffic is moderate traffic. Trip starts at 21:00 night.,Weather is storm with a temperature of 12°C cold. Route distance is 30 km and traffic is moderate traffic. Trip starts at 21:00 night. Transport mode is car.
strong wind,24°C warm,3 km,moderate traffic,12:00 midday,bike,Bike is practical for a short 3km distance in suitable weather conditions.,Weather is strong wind with a temperature of 24°C warm. Route distance is 3 km and traffic is moderate traffic. Trip starts at 12:00 midday.,Weather is strong wind with a temperature of 24°C warm. Route distance is 3 km and traffic is moderate traffic. Trip starts at 12:00 midday. Transport mode is bike.
strong wind,38°C extreme heat,5 km,gridlock,12:00 midday,motorbike,"Motorbike is suitable for 5km and can navigate gridlock, while extreme heat excludes bike and transit.",Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 5 km and traffic is gridlock. Trip starts at 12:00 midday.,Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 5 km and traffic is gridlock. Trip starts at 12:00 midday. Transport mode is motorbike.
light rain,24°C warm,5 km,light traffic,15:00 afternoon,motorbike,"Motorbike is efficient for 5km in light rain, offering more protection than a bike.",Weather is light rain with a temperature of 24°C warm. Route distance is 5 km and traffic is light traffic. Trip starts at 15:00 afternoon.,Weather is light rain with a temperature of 24°C warm. Route distance is 5 km and traffic is light traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
light drizzle,38°C extreme heat,0.5 km,gridlock,21:00 night,motorbike,"Motorbike is practical for a very short distance in extreme heat and gridlock, where bike and transit are excluded.",Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 0.5 km and traffic is gridlock. Trip starts at 21:00 night.,Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 0.5 km and traffic is gridlock. Trip starts at 21:00 night. Transport mode is motorbike.
clear sky,35°C very hot,0.5 km,gridlock,07:00 rush hour,motorbike,"Motorbike is efficient for a very short distance in gridlock during rush hour, avoiding discomfort from very hot weather.",Weather is clear sky with a temperature of 35°C very hot. Route distance is 0.5 km and traffic is gridlock. Trip starts at 07:00 rush hour.,Weather is clear sky with a temperature of 35°C very hot. Route distance is 0.5 km and traffic is gridlock. Trip starts at 07:00 rush hour. Transport mode is motorbike.
strong wind,35°C very hot,15 km,heavy traffic,07:00 rush hour,motorbike,"Motorbike is efficient for 15km in heavy traffic during rush hour, where bike is too far and car is slow.",Weather is strong wind with a temperature of 35°C very hot. Route distance is 15 km and traffic is heavy traffic. Trip starts at 07:00 rush hour.,Weather is strong wind with a temperature of 35°C very hot. Route distance is 15 km and traffic is heavy traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
strong wind,30°C hot,1 km,moderate traffic,18:00 evening rush,bike,Bike is the most practical for a very short 1km distance in suitable weather.,Weather is strong wind with a temperature of 30°C hot. Route distance is 1 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is strong wind with a temperature of 30°C hot. Route distance is 1 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is bike.
heavy rain,30°C hot,15 km,no traffic,00:00 late night,car,"Car is the best option for heavy rain, especially for 15km, when other modes are excluded.",Weather is heavy rain with a temperature of 30°C hot. Route distance is 15 km and traffic is no traffic. Trip starts at 00:00 late night.,Weather is heavy rain with a temperature of 30°C hot. Route distance is 15 km and traffic is no traffic. Trip starts at 00:00 late night. Transport mode is car.
strong wind,38°C extreme heat,1 km,gridlock,09:00 morning,motorbike,"Motorbike is efficient for a short distance in gridlock, while extreme heat excludes bike and transit.",Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 1 km and traffic is gridlock. Trip starts at 09:00 morning.,Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 1 km and traffic is gridlock. Trip starts at 09:00 morning. Transport mode is motorbike.
fog,30°C hot,15 km,heavy traffic,12:00 midday,motorbike,"Motorbike is efficient for 15km in heavy traffic, and fog is not an explicit exclusion for this mode.",Weather is fog with a temperature of 30°C hot. Route distance is 15 km and traffic is heavy traffic. Trip starts at 12:00 midday.,Weather is fog with a temperature of 30°C hot. Route distance is 15 km and traffic is heavy traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
fog,18°C mild,15 km,gridlock,21:00 night,motorbike,"Motorbike is efficient for 15km in gridlock, and fog is not an explicit exclusion for this mode.",Weather is fog with a temperature of 18°C mild. Route distance is 15 km and traffic is gridlock. Trip starts at 21:00 night.,Weather is fog with a temperature of 18°C mild. Route distance is 15 km and traffic is gridlock. Trip starts at 21:00 night. Transport mode is motorbike.
light drizzle,35°C very hot,15 km,no traffic,12:00 midday,motorbike,"Motorbike is efficient for 15km with no traffic, and light drizzle is not an exclusion.",Weather is light drizzle with a temperature of 35°C very hot. Route distance is 15 km and traffic is no traffic. Trip starts at 12:00 midday.,Weather is light drizzle with a temperature of 35°C very hot. Route distance is 15 km and traffic is no traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
overcast,30°C hot,20 km,moderate traffic,07:00 rush hour,motorbike,"Motorbike is efficient for 20km in moderate traffic during rush hour, offering good maneuverability.",Weather is overcast with a temperature of 30°C hot. Route distance is 20 km and traffic is moderate traffic. Trip starts at 07:00 rush hour.,Weather is overcast with a temperature of 30°C hot. Route distance is 20 km and traffic is moderate traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
fog,24°C warm,15 km,gridlock,12:00 midday,motorbike,"Motorbike is efficient for 15km in gridlock, and fog is not an explicit exclusion for this mode.",Weather is fog with a temperature of 24°C warm. Route distance is 15 km and traffic is gridlock. Trip starts at 12:00 midday.,Weather is fog with a temperature of 24°C warm. Route distance is 15 km and traffic is gridlock. Trip starts at 12:00 midday. Transport mode is motorbike.
clear sky,30°C hot,30 km,moderate traffic,21:00 night,motorbike,Motorbike is suitable for distances up to 30km and efficient for moderate traffic at night.,Weather is clear sky with a temperature of 30°C hot. Route distance is 30 km and traffic is moderate traffic. Trip starts at 21:00 night.,Weather is clear sky with a temperature of 30°C hot. Route distance is 30 km and traffic is moderate traffic. Trip starts at 21:00 night. Transport mode is motorbike.
light rain,35°C very hot,8 km,gridlock,07:00 rush hour,motorbike,"Motorbike is efficient for 8km in gridlock during rush hour, and light rain is not an exclusion.",Weather is light rain with a temperature of 35°C very hot. Route distance is 8 km and traffic is gridlock. Trip starts at 07:00 rush hour.,Weather is light rain with a temperature of 35°C very hot. Route distance is 8 km and traffic is gridlock. Trip starts at 07:00 rush hour. Transport mode is motorbike.
heavy rain,12°C cold,3 km,gridlock,12:00 midday,car,"Car is the only suitable option for heavy rain, especially when other modes are excluded.",Weather is heavy rain with a temperature of 12°C cold. Route distance is 3 km and traffic is gridlock. Trip starts at 12:00 midday.,Weather is heavy rain with a temperature of 12°C cold. Route distance is 3 km and traffic is gridlock. Trip starts at 12:00 midday. Transport mode is car.
storm,30°C hot,1 km,no traffic,09:00 morning,car,"Car is the only suitable option during a storm, as all other modes are excluded.",Weather is storm with a temperature of 30°C hot. Route distance is 1 km and traffic is no traffic. Trip starts at 09:00 morning.,Weather is storm with a temperature of 30°C hot. Route distance is 1 km and traffic is no traffic. Trip starts at 09:00 morning. Transport mode is car.
overcast,38°C extreme heat,20 km,light traffic,21:00 night,motorbike,"Motorbike is efficient for 20km in light traffic, while extreme heat excludes bike and transit.",Weather is overcast with a temperature of 38°C extreme heat. Route distance is 20 km and traffic is light traffic. Trip starts at 21:00 night.,Weather is overcast with a temperature of 38°C extreme heat. Route distance is 20 km and traffic is light traffic. Trip starts at 21:00 night. Transport mode is motorbike.
strong wind,35°C very hot,0.5 km,no traffic,00:00 late night,bike,Bike is the most practical for a very short 0.5km distance in suitable weather conditions.,Weather is strong wind with a temperature of 35°C very hot. Route distance is 0.5 km and traffic is no traffic. Trip starts at 00:00 late night.,Weather is strong wind with a temperature of 35°C very hot. Route distance is 0.5 km and traffic is no traffic. Trip starts at 00:00 late night. Transport mode is bike.
clear sky,24°C warm,0.5 km,moderate traffic,18:00 evening rush,bike,"For a very short distance of 0.5 km in clear weather, a bike is the most practical choice.",Weather is clear sky with a temperature of 24°C warm. Route distance is 0.5 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is clear sky with a temperature of 24°C warm. Route distance is 0.5 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is bike.
storm,24°C warm,2 km,light traffic,12:00 midday,car,"A storm excludes bike, motorbike, and transit, making a car the only practical option for safety and comfort.",Weather is storm with a temperature of 24°C warm. Route distance is 2 km and traffic is light traffic. Trip starts at 12:00 midday.,Weather is storm with a temperature of 24°C warm. Route distance is 2 km and traffic is light traffic. Trip starts at 12:00 midday. Transport mode is car.
storm,24°C warm,8 km,gridlock,07:00 rush hour,car,"Despite rush hour gridlock, a storm excludes bike, motorbike, and transit, making a car the only viable option.",Weather is storm with a temperature of 24°C warm. Route distance is 8 km and traffic is gridlock. Trip starts at 07:00 rush hour.,Weather is storm with a temperature of 24°C warm. Route distance is 8 km and traffic is gridlock. Trip starts at 07:00 rush hour. Transport mode is car.
overcast,18°C mild,15 km,gridlock,12:00 midday,transit,"For 15 km in gridlock, transit is a practical choice for urban travel, avoiding traffic congestion better than a car or motorbike.",Weather is overcast with a temperature of 18°C mild. Route distance is 15 km and traffic is gridlock. Trip starts at 12:00 midday.,Weather is overcast with a temperature of 18°C mild. Route distance is 15 km and traffic is gridlock. Trip starts at 12:00 midday. Transport mode is transit.
clear sky,24°C warm,5 km,gridlock,07:00 rush hour,motorbike,"For 5 km in gridlock during rush hour, a motorbike offers agility and is a common practical choice in Southeast Asian cities.",Weather is clear sky with a temperature of 24°C warm. Route distance is 5 km and traffic is gridlock. Trip starts at 07:00 rush hour.,Weather is clear sky with a temperature of 24°C warm. Route distance is 5 km and traffic is gridlock. Trip starts at 07:00 rush hour. Transport mode is motorbike.
storm,12°C cold,0.5 km,heavy traffic,00:00 late night,car,"A storm excludes bike, motorbike, and transit, making a car the only practical option for safety and comfort.",Weather is storm with a temperature of 12°C cold. Route distance is 0.5 km and traffic is heavy traffic. Trip starts at 00:00 late night.,Weather is storm with a temperature of 12°C cold. Route distance is 0.5 km and traffic is heavy traffic. Trip starts at 00:00 late night. Transport mode is car.
clear sky,18°C mild,0.5 km,light traffic,21:00 night,bike,"For a very short distance of 0.5 km in clear weather, a bike is the most practical choice.",Weather is clear sky with a temperature of 18°C mild. Route distance is 0.5 km and traffic is light traffic. Trip starts at 21:00 night.,Weather is clear sky with a temperature of 18°C mild. Route distance is 0.5 km and traffic is light traffic. Trip starts at 21:00 night. Transport mode is bike.
storm,24°C warm,8 km,no traffic,07:00 rush hour,car,"A storm excludes bike, motorbike, and transit, making a car the only practical option for safety and comfort.",Weather is storm with a temperature of 24°C warm. Route distance is 8 km and traffic is no traffic. Trip starts at 07:00 rush hour.,Weather is storm with a temperature of 24°C warm. Route distance is 8 km and traffic is no traffic. Trip starts at 07:00 rush hour. Transport mode is car.
light drizzle,38°C extreme heat,2 km,no traffic,07:00 rush hour,motorbike,"Bike and transit are excluded by extreme heat, leaving motorbike as the most practical option for 2 km in light drizzle.",Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is no traffic. Trip starts at 07:00 rush hour.,Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is no traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
light rain,24°C warm,20 km,moderate traffic,18:00 evening rush,motorbike,"For 20 km in light rain during evening rush, a motorbike is a flexible and practical choice, as heavy rain is not present.",Weather is light rain with a temperature of 24°C warm. Route distance is 20 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is light rain with a temperature of 24°C warm. Route distance is 20 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
clear sky,18°C mild,0.5 km,gridlock,07:00 rush hour,bike,"For a very short 0.5 km distance in good weather, a bike is the most practical and least affected by gridlock.",Weather is clear sky with a temperature of 18°C mild. Route distance is 0.5 km and traffic is gridlock. Trip starts at 07:00 rush hour.,Weather is clear sky with a temperature of 18°C mild. Route distance is 0.5 km and traffic is gridlock. Trip starts at 07:00 rush hour. Transport mode is bike.
overcast,38°C extreme heat,20 km,gridlock,09:00 morning,car,"Extreme heat excludes bike and transit, making a car the most practical choice for comfort over 20 km despite gridlock.",Weather is overcast with a temperature of 38°C extreme heat. Route distance is 20 km and traffic is gridlock. Trip starts at 09:00 morning.,Weather is overcast with a temperature of 38°C extreme heat. Route distance is 20 km and traffic is gridlock. Trip starts at 09:00 morning. Transport mode is car.
fog,30°C hot,8 km,no traffic,00:00 late night,motorbike,"For 8 km with no traffic at night, a motorbike offers directness and flexibility in foggy conditions.",Weather is fog with a temperature of 30°C hot. Route distance is 8 km and traffic is no traffic. Trip starts at 00:00 late night.,Weather is fog with a temperature of 30°C hot. Route distance is 8 km and traffic is no traffic. Trip starts at 00:00 late night. Transport mode is motorbike.
fog,30°C hot,30 km,gridlock,12:00 midday,transit,"For 30 km in gridlock, transit is often the most efficient and practical option for longer urban distances.",Weather is fog with a temperature of 30°C hot. Route distance is 30 km and traffic is gridlock. Trip starts at 12:00 midday.,Weather is fog with a temperature of 30°C hot. Route distance is 30 km and traffic is gridlock. Trip starts at 12:00 midday. Transport mode is transit.
strong wind,24°C warm,15 km,gridlock,07:00 rush hour,transit,"For 15 km in gridlock during rush hour, transit is a practical choice, unaffected by strong wind which could impact motorbikes.",Weather is strong wind with a temperature of 24°C warm. Route distance is 15 km and traffic is gridlock. Trip starts at 07:00 rush hour.,Weather is strong wind with a temperature of 24°C warm. Route distance is 15 km and traffic is gridlock. Trip starts at 07:00 rush hour. Transport mode is transit.
light rain,24°C warm,5 km,moderate traffic,15:00 afternoon,motorbike,"For 5 km in light rain, a motorbike is a practical and common choice, as heavy rain is not present.",Weather is light rain with a temperature of 24°C warm. Route distance is 5 km and traffic is moderate traffic. Trip starts at 15:00 afternoon.,Weather is light rain with a temperature of 24°C warm. Route distance is 5 km and traffic is moderate traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
strong wind,35°C very hot,0.5 km,light traffic,18:00 evening rush,bike,"For a very short 0.5 km distance, a bike is the most practical choice as 35°C is not considered extreme heat.",Weather is strong wind with a temperature of 35°C very hot. Route distance is 0.5 km and traffic is light traffic. Trip starts at 18:00 evening rush.,Weather is strong wind with a temperature of 35°C very hot. Route distance is 0.5 km and traffic is light traffic. Trip starts at 18:00 evening rush. Transport mode is bike.
clear sky,18°C mild,30 km,moderate traffic,07:00 rush hour,transit,"For a 30 km commute during rush hour, transit is often the most reliable and efficient option.",Weather is clear sky with a temperature of 18°C mild. Route distance is 30 km and traffic is moderate traffic. Trip starts at 07:00 rush hour.,Weather is clear sky with a temperature of 18°C mild. Route distance is 30 km and traffic is moderate traffic. Trip starts at 07:00 rush hour. Transport mode is transit.
